EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,B52
387,2,16,2,aa,30,444.3010423489981
1488,2,26,2,aa,44,1159.7961031651496
1503,2,86,2,aa,48,906.2264769678027
1815,2,42,2,aa,16,733.4796091742869
1830,2,82,2,aa,61,958.5245030730391
2012,1,20,2,aa,61,1218.8682635324137
5764,1,31,2,aa,52,843.6224562470177
5795,2,83,2,aa,45,735.9728591376353
5832,1,20,2,aa,3,497.60221250738385
5951,1,30,1,aa,9,735.9313578047141
6900,1,55,2,aa,43,706.7201347128732
6959,2,48,1,aa,27,498.2063648645824
7812,2,51,2,aa,60,707.815747075313
10259,1,49,2,aa,19,109.33740431895592
10723,2,80,2,aa,10,1195.9897745362634
10854,2,40,1,aa,45,349.93483516554045
10917,2,27,1,aa,15,84.53595975109539
12337,2,80,1,aa,19,856.5328768045764
12425,2,21,2,aa,15,1172.328439403739
12868,1,80,2,aa,54,1341.3151786506353
12905,2,31,1,aa,60,995.3810048211458
15474,2,87,2,aa,31,340.12308564719774
15478,2,31,1,aa,28,336.6411583733719
15499,2,28,2,aa,60,892.9508982348249
15724,2,81,1,aa,60,1330.59608040504
15736,1,69,2,aa,1,865.592998906611
15779,2,29,1,aa,18,871.4607952388052
15830,1,69,1,aa,28,1350.9176656111251
15869,1,63,2,aa,18,893.858850634907
16732,1,69,2,aa,44,552.1379796630224
17097,1,71,1,aa,24,766.8027432978749
17125,1,44,1,aa,41,838.1544203866185
17157,1,49,2,aa,30,398.53877852481816
17226,2,61,1,aa,41,1335.8083452723122
18011,2,48,2,aa,38,393.8473124150038
18247,1,41,1,aa,41,1330.266683549852
18354,1,29,2,aa,41,767.3572903019117
22705,2,83,1,aa,38,517.5557233295839
22713,1,21,1,aa,18,1273.8979422204575
22753,2,82,2,aa,28,876.5543032432297
22798,1,29,1,aa,3,709.4629434217297
23144,1,25,2,aa,22,1315.0849885627051
23481,1,86,1,aa,51,892.6765930400898
23765,1,82,1,aa,60,1256.1764464503926
23873,1,21,2,aa,2,711.8128026970306
23969,2,20,2,aa,15,518.9305512172201
24003,1,54,1,aa,54,1142.2293544641693
24365,1,40,1,aa,18,1158.0910845903152
24438,1,24,1,aa,60,413.4220667848513
24459,1,40,1,aa,31,863.7191309590407
24842,1,16,1,aa,17,417.94481575169846
24881,2,69,2,aa,53,528.9884503325204
25224,2,61,1,aa,1,104.37069220933216
26775,1,81,1,aa,23,1090.3356624658816
27188,1,69,2,aa,9,548.391850374919
27332,1,17,1,aa,14,1195.983172311881
27982,1,69,2,aa,40,549.5469866617242
28332,1,17,2,aa,40,530.5835318337487
28659,2,68,2,aa,28,1144.545345361985
29241,2,82,2,aa,17,844.7847280469424
29388,2,68,2,aa,49,1117.359702608345
29427,1,43,2,aa,23,1341.395710088217
29430,1,51,2,aa,61,844.6076826268398
29704,2,83,1,aa,26,1200.5730191783027
29711,1,63,2,aa,30,1140.4503069710572
29726,2,29,2,aa,20,848.8096004502073
29840,1,70,2,aa,18,864.2053776850178
29886,2,70,2,aa,35,1344.7880171948605
29923,1,87,1,aa,62,767.0910777530493
29935,1,87,2,aa,9,767.2883187036414
30725,1,57,1,aa,61,987.1574460666917
30808,2,40,1,aa,55,293.3105907908693
30816,1,41,1,aa,50,498.54830852377256
30819,1,42,1,aa,8,836.452807630954
30908,2,87,1,aa,1,124.86950600816057
30943,2,42,1,aa,33,1220.709672732255
30955,2,83,1,aa,35,29.950654192132607
31201,2,71,1,aa,61,501.64150591974186
31228,2,41,1,aa,17,832.6425687074609
36073,1,67,2,aa,35,542.5653079097449
36246,1,48,2,aa,14,814.1697402439568
36314,2,21,2,aa,59,1109.951799678691
36388,2,37,2,aa,14,1039.6807443464484
36757,1,67,2,aa,59,785.7465372594191
36814,2,49,2,aa,14,911.8240821616238
37055,1,40,2,aa,7,913.8472641943061
37270,2,48,2,aa,37,161.03439715970066
37394,1,49,1,aa,14,809.6232789780333
37640,2,37,1,aa,59,128.76443452268109
37733,2,51,1,aa,36,240.4147969996785
38094,1,76,1,aa,59,200.99925131908094
38218,1,66,1,aa,59,1141.227082105535
41005,1,67,2,aa,59,204.3841052845221
41682,1,44,2,aa,59,129.93327625932434
41873,1,44,1,aa,12,206.45065673589488
42152,2,76,2,aa,12,1242.0524631238743
42874,1,57,1,aa,4,135.73448239126083
42876,1,51,2,aa,4,611.4349892098629
45466,1,76,1,aa,50,1104.7093366141062
45477,1,76,1,aa,58,607.4354239079374
45509,1,43,1,aa,48,569.8200417529365
46250,2,19,1,aa,35,1128.60538113037
46530,1,64,2,aa,35,134.9184051553808
47026,1,68,1,aa,35,1156.027866186688
47752,2,40,2,aa,35,585.4302645166744
48339,2,68,2,aa,35,7.734145664473262
48439,2,32,1,aa,58,1219.7865860289025
48660,1,35,1,aa,58,934.4968479505377
49053,1,17,2,aa,58,514.9190863727632
